用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
111,0,0,1,4,0,3,1
112,0,0,1,5,0,5,0
113,0,0,1,1,0,0,1
114,0,0,1,1,0,1,0
115,0,0,1,1,0,0,1
116,0,4,5,21,2,14,5
117,0,0,1,4,0,2,2
118,0,1,2,6,1,2,3
119,0,0,1,5,0,4,1
120,0,1,2,3,2,0,1
121,0,4,2,3,0,2,1
122,0,5,6,56,10,29,17
123,0,0,1,1,0,1,0
124,0,4,5,11,3,7,1
125,0,1,2,5,1,2,2
126,0,0,1,2,0,2,0
127,0,0,1,1,0,1,0
128,0,0,1,1,1,0,0
129,0,1,2,5,1,0,4
130,0,0,1,2,0,2,0
131,0,0,1,1,1,0,0
132,0,0,1,1,0,1,0
133,0,26,7,36,3,20,13
134,0,1,2,3,0,1,2
135,0,0,1,1,0,1,0
136,0,0,1,2,0,0,2
137,0,0,1,1,0,0,1
138,0,25,7,37,4,23,10
139,0,3,4,8,1,6,1
140,0,0,1,1,0,0,1
141,0,1,2,6,3,1,2
142,0,6,7,25,4,17,4
143,0,0,1,2,2,0,0
144,0,1,2,5,1,1,3
145,0,23,4,7,0,4,3
146,0,1,2,7,4,0,3
147,0,0,1,2,0,2,0
148,0,3,4,23,3,13,7
149,0,3,4,8,1,1,6
150,0,0,1,4,0,1,3
151,0,0,1,3,2,1,0
152,0,0,1,1,0,1,0
153,0,0,1,2,0,2,0
154,0,3,2,2,0,0,2
155,0,1,2,4,3,0,1
156,0,0,1,6,1,4,1
157,0,7,7,56,13,29,14
158,0,4,3,11,0,8,3
159,0,1,2,4,0,4,0
160,0,0,1,1,1,0,0
161,0,7,7,63,13,34,16
162,0,0,1,1,1,0,0
163,0,7,7,94,18,53,23
164,0,2,3,5,0,2,3
165,0,7,7,56,10,35,11
166,0,1,2,8,0,6,2
167,0,0,1,6,0,4,2
168,0,4,5,16,3,9,4
169,0,2,2,4,1,0,3
170,0,7,4,6,2,4,0
171,0,5,6,20,3,17,0
172,0,0,1,2,0,1,1
173,0,0,1,2,0,2,0
174,0,0,1,1,0,0,1
175,0,1,2,9,3,5,1
176,0,0,1,1,0,0,1
177,0,3,4,27,9,16,2
178,0,4,5,23,15,6,2
179,0,3,4,8,3,3,2
180,0,5,6,16,3,6,7
181,0,0,1,3,1,2,0
182,0,0,1,2,0,2,0
183,0,2,3,5,3,0,2
184,0,0,1,2,0,2,0
185,0,0,1,3,1,2,0
186,0,0,1,2,0,2,0
187,0,2,3,26,5,14,7
188,0,0,1,1,1,0,0
189,0,4,2,4,0,3,1
190,0,0,1,1,0,1,0
191,0,0,1,4,0,2,2
192,0,0,1,2,1,1,0
193,0,3,3,8,4,3,1
194,0,0,1,2,0,2,0
195,0,2,3,6,0,5,1
196,0,1,2,3,1,0,2
197,0,4,4,30,7,17,6
198,0,0,1,3,0,3,0
199,0,3,4,14,0,11,3
200,0,19,6,23,4,12,7
201,0,4,5,16,5,7,4
202,0,1,1,3,1,2,0
203,0,1,2,3,0,3,0
204,0,0,1,1,0,0,1
205,0,2,3,12,3,5,4
206,0,6,7,101,26,52,23
207,0,6,7,17,2,10,5
208,1,1,2,5,0,3,2
209,0,2,3,10,4,2,4
210,1,3,4,13,5,4,4
211,1,1,2,4,1,1,2
212,0,1,2,3,0,0,3
213,0,14,1,1,0,1,0
214,0,1,1,1,1,0,0
215,1,6,7,41,14,19,8
216,0,0,1,4,0,0,4
217,0,0,1,2,0,2,0
218,1,3,4,11,5,6,0
219,0,1,1,1,0,1,0
220,0,0,1,2,0,0,2
221,1,5,6,17,2,8,7
222,1,3,4,11,2,7,2
223,1,3,3,11,3,3,5
224,0,0,1,5,0,2,3
225,0,0,1,1,0,1,0
226,0,0,1,1,0,0,1
227,0,0,1,2,0,2,0
228,0,0,1,1,0,0,1
229,0,0,1,1,0,1,0
230,0,0,1,1,0,0,1
231,0,0,1,1,0,1,0
232,0,3,2,3,0,2,1
233,0,1,2,3,0,1,2
234,0,3,4,4,2,2,0
235,0,5,6,27,5,14,8
236,0,1,2,3,0,1,2
237,0,1,1,1,0,1,0
238,1,4,5,27,12,13,2
239,0,0,1,1,0,0,1
240,0,2,3,7,2,2,3
241,0,0,1,5,2,1,2
242,0,0,1,1,0,1,0
243,1,2,3,10,1,2,7
244,0,0,1,2,0,0,2
245,0,5,3,8,0,4,4
246,1,6,7,51,14,22,15
247,0,0,1,2,0,2,0
248,0,1,2,3,0,1,2
249,0,2,3,9,6,1,2
250,0,0,1,2,0,2,0
251,1,2,3,7,4,3,0
252,0,0,1,1,0,0,1
253,0,1,2,2,0,0,2
254,0,1,2,8,1,5,2
255,0,0,1,2,0,0,2
256,0,4,2,2,0,2,0
257,0,7,7,76,17,37,22
258,0,3,3,4,2,2,0
259,0,2,3,8,1,6,1
260,0,0,1,3,0,2,1
261,0,0,1,2,2,0,0
262,0,1,2,2,1,0,1
263,0,0,1,2,0,2,0
264,0,0,1,2,2,0,0
265,0,0,1,1,1,0,0
266,0,6,7,59,15,28,16
267,0,4,5,21,9,9,3
268,0,4,5,6,2,4,0
269,0,0,1,1,0,1,0
270,0,2,3,10,4,2,4
271,0,3,4,9,5,0,4
272,0,0,1,1,0,1,0
273,0,2,2,2,0,2,0
274,0,0,1,2,1,1,0
275,0,0,1,1,0,0,1
276,0,0,1,1,1,0,0
277,0,0,1,2,0,2,0
278,0,0,1,2,2,0,0
279,0,1,2,2,0,1,1
280,0,3,3,6,0,3,3
281,0,1,2,2,1,1,0
282,0,0,1,2,1,1,0
283,0,0,1,1,0,1,0
284,0,0,1,2,0,2,0
285,0,0,1,2,0,0,2
286,0,0,1,1,0,0,1
287,0,0,1,1,0,0,1
288,0,0,1,2,0,0,2
289,0,0,1,2,0,2,0
290,0,0,1,1,0,1,0
291,0,0,1,1,0,0,1
292,0,1,2,3,0,3,0
293,0,3,4,8,1,4,3
294,0,0,1,1,0,0,1
295,0,5,6,57,9,33,15
