用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
491,0,0,1,4,0,3,1
492,1,4,5,41,11,23,7
493,0,2,2,3,0,0,3
494,0,0,1,1,0,0,1
495,1,7,7,72,19,34,19
496,1,1,2,9,0,9,0
497,0,3,4,8,3,3,2
498,0,0,1,2,2,0,0
499,0,2,3,6,2,2,2
500,0,1,1,3,2,1,0
501,0,1,2,5,1,2,2
502,0,0,1,3,0,0,3
503,0,0,1,5,0,3,2
504,0,0,1,1,0,1,0
505,0,0,1,2,0,0,2
506,0,0,1,2,0,2,0
507,0,13,4,12,1,9,2
508,0,1,2,7,2,3,2
509,0,0,1,3,0,0,3
510,0,0,1,2,0,1,1
511,0,0,1,2,0,0,2
512,0,0,1,1,0,1,0
513,0,1,2,9,2,5,2
514,0,10,1,1,0,1,0
515,0,4,5,17,1,7,9
516,0,5,6,22,10,3,9
517,0,0,1,1,0,1,0
518,0,0,1,2,0,2,0
519,0,0,1,2,0,2,0
520,0,0,1,1,0,1,0
521,0,0,1,2,0,2,0
522,0,0,1,1,0,0,1
523,0,0,1,3,0,0,3
524,0,4,3,6,2,1,3
525,0,0,1,2,0,2,0
526,0,0,1,1,0,1,0
527,0,5,2,3,0,3,0
528,0,0,1,1,0,1,0
529,0,0,1,1,0,1,0
530,0,0,1,1,0,1,0
531,0,1,2,9,0,6,3
532,0,0,1,1,0,1,0
533,0,0,1,1,0,1,0
534,0,0,1,2,0,2,0
535,0,3,4,7,1,5,1
536,0,0,1,1,0,0,1
537,0,4,5,30,6,18,6
538,0,0,1,1,0,1,0
539,0,0,1,8,0,6,2
540,0,5,6,22,6,4,12
541,0,0,1,1,0,1,0
542,0,0,1,1,0,1,0
543,0,1,2,6,1,3,2
544,0,2,3,12,4,2,6
545,0,2,3,11,4,3,4
546,0,0,1,2,0,1,1
547,0,3,4,9,1,5,3
548,0,2,3,12,2,7,3
549,0,5,6,26,5,11,10
550,0,1,2,6,5,1,0
551,0,1,2,7,4,2,1
552,0,0,1,2,0,0,2
553,0,2,2,4,1,2,1
554,0,0,1,2,2,0,0
555,0,0,1,2,0,2,0
556,0,0,1,1,0,0,1
557,0,0,1,3,0,3,0
558,0,4,5,27,6,14,7
559,0,1,2,12,2,7,3
560,0,1,2,6,4,1,1
561,0,1,2,2,0,2,0
562,0,0,1,1,0,0,1
563,0,0,1,1,0,0,1
564,0,0,1,1,0,1,0
565,0,0,1,1,0,1,0
566,0,1,2,4,0,1,3
567,0,1,2,8,3,2,3
568,0,0,1,2,0,2,0
569,0,0,1,2,0,2,0
570,0,1,2,3,0,1,2
571,0,0,1,1,0,1,0
572,0,0,1,1,0,0,1
573,0,0,1,2,2,0,0
574,0,0,1,2,0,2,0
575,0,0,1,2,0,0,2
576,0,0,1,1,0,0,1
577,0,1,2,3,1,2,0
578,0,0,1,2,0,2,0
579,0,0,1,1,0,0,1
580,0,6,7,44,9,25,10
581,1,3,4,14,4,2,8
582,0,0,1,2,0,2,0
583,0,0,1,3,1,0,2
584,0,0,1,2,0,0,2
585,0,0,1,1,0,1,0
586,0,0,1,1,0,1,0
587,0,0,1,2,0,2,0
588,1,2,3,14,1,8,5
589,1,3,4,12,2,7,3
590,0,0,1,1,1,0,0
591,1,2,3,6,2,3,1
592,0,0,1,1,0,0,1
593,0,0,1,7,0,6,1
594,0,0,1,1,0,1,0
595,0,5,6,30,2,22,6
596,0,2,2,4,3,1,0
597,0,0,1,1,0,0,1
598,0,0,1,2,0,2,0
599,0,0,1,1,0,0,1
600,0,0,1,1,0,1,0
601,0,0,1,1,0,0,1
602,0,0,1,3,0,3,0
603,0,0,1,2,0,2,0
604,0,2,2,3,0,2,1
605,0,0,1,2,0,0,2
606,0,0,1,1,0,1,0
607,0,0,1,2,2,0,0
608,0,0,1,1,0,1,0
609,0,0,1,2,0,2,0
610,0,0,1,1,0,1,0
611,0,0,1,1,0,1,0
612,0,5,2,2,0,2,0
613,0,0,1,1,0,1,0
614,0,0,1,1,0,1,0
615,0,0,1,1,0,0,1
616,0,0,1,1,0,1,0
617,0,0,1,1,0,1,0
618,0,0,1,1,0,0,1
619,0,1,2,3,0,1,2
620,0,1,2,5,0,3,2
621,0,0,1,4,3,1,0
622,0,0,1,3,0,3,0
623,0,1,2,5,0,4,1
624,0,1,2,2,0,0,2
625,0,1,2,6,1,5,0
626,0,5,5,18,5,7,6
627,0,0,1,2,0,2,0
628,0,0,1,3,0,0,3
629,0,0,1,2,0,2,0
630,1,7,7,65,16,21,28
631,1,3,4,13,2,10,1
632,0,0,1,2,0,2,0
633,1,3,4,16,4,6,6
634,1,3,4,17,6,6,5
635,0,0,1,1,0,1,0
636,0,0,1,1,0,1,0
637,0,1,2,2,0,1,1
638,0,1,1,9,1,8,0
639,0,1,2,9,0,7,2
640,0,1,2,2,0,0,2
641,1,2,3,14,1,10,3
642,1,11,6,21,2,17,2
643,1,2,3,14,3,7,4
644,0,0,1,1,0,1,0
645,1,4,5,30,8,10,12
646,1,0,1,4,0,2,2
647,1,1,2,7,1,5,1
648,0,6,7,38,5,29,4
649,1,4,5,22,1,16,5
650,0,1,2,4,1,1,2
651,0,1,2,2,2,0,0
652,0,0,1,1,0,0,1
653,0,0,1,2,0,0,2
654,0,0,1,2,0,0,2
655,0,0,1,3,0,3,0
656,1,3,4,14,6,5,3
657,1,8,5,11,1,9,1
658,1,7,7,55,10,30,15
659,0,0,1,1,0,0,1
660,0,0,1,4,0,3,1
661,1,3,4,9,2,1,6
662,0,0,1,1,0,1,0
663,0,2,2,7,0,7,0
664,1,5,6,37,7,20,10
