Rank,Shirt,Name,Pos.,Team,Spike,Block,Serve,Total
108,22,Nabeya Yurie,OS,JPN,8,,3,11
109,4,Zivkovic Bojana,S,SRB,1,4,5,10
109,5,Popovic Mina,MB,SRB,6,2,2,10
109,19,Cho Song-Hwa,S,KOR,2,5,3,10
112,1,Wairimu Jane,S,KEN,2,1,6,9
112,7,Wanja Jannet,S,KEN,5,2,2,9
112,9,Magnana Silya,S,ALG,3,3,3,9
112,13,Startseva Evgeniya,S,RUS,3,,6,9
112,18,Kreklow Molly,S,USA,2,1,6,9
117,10,Kosianenko Ekaterina,S,RUS,4,2,2,8
117,11,Zhang Xiaoya,MB,CHN,5,2,1,8
117,20,Bouregua Nour El Houda,MB,ALG,8,,,8
120,17,Belhocine Sarra,OP,ALG,4,,3,7
120,18,Lee Dayeong,S,KOR,2,2,3,7
122,1,De La Pea Diana,MB,PER,3,2,1,6
122,16,Ding Xia,S,CHN,4,1,1,6
124,11,Moreno Borrero Gretell Elena,S,CUB,1,2,2,5
125,3,Rueda Carla,OS,PER,2,,1,3
125,5,Ayadi Chanez,S,ALG,1,,2,3
125,17,Chae Seon-Ah,OS,KOR,2,,1,3
128,4,Guerrero Maricarmen,MB,PER,2,,,2
128,9,Isaeva Daria,OP,RUS,2,,,2
128,15,Sadi Amira,OP,ALG,2,,,2
128,19,Binet Stephens Ana Yorkira,OS,DOM,1,,1,2
132,7,Wei Qiuyue,S,CHN,,,1,1
132,9,Luis Ruiz Dayessi,OS,CUB,,,1,1
132,9,Sagardia Clarisa,S,ARG,,,1,1
